detailId,orderId,flashItemId,quantity,unitPrice
DTL-00001,ORD-02401,FSI-00497,1,150000.0
DTL-00002,ORD-00534,FSI-00387,1,1961000.0
DTL-00003,ORD-01722,FSI-00490,2,1106000.0
DTL-00004,ORD-01111,FSI-00046,1,929000.0
DTL-00005,ORD-00039,FSI-00213,2,1577000.0
DTL-00006,ORD-00023,FSI-00282,2,1056000.0
DTL-00007,ORD-00800,FSI-00195,1,1473000.0
DTL-00008,ORD-00262,FSI-00438,1,428000.0
DTL-00009,ORD-01766,FSI-00053,2,1392000.0
DTL-00010,ORD-00722,FSI-00341,1,950000.0
DTL-00011,ORD-00016,FSI-00408,1,640000.0
DTL-00012,ORD-00123,FSI-00259,1,1920000.0
DTL-00013,ORD-00447,FSI-00288,2,1865000.0
DTL-00014,ORD-01803,FSI-00073,1,2496000.0
DTL-00015,ORD-01986,FSI-00430,2,722000.0
DTL-00016,ORD-01516,FSI-00266,2,452000.0
DTL-00017,ORD-00901,FSI-00235,1,850000.0
DTL-00018,ORD-01783,FSI-00259,2,1920000.0
DTL-00019,ORD-01063,FSI-00126,2,1285000.0
DTL-00020,ORD-00242,FSI-00278,2,2149000.0
DTL-00021,ORD-01501,FSI-00149,2,1998000.0
DTL-00022,ORD-02270,FSI-00233,1,2090000.0
DTL-00023,ORD-01239,FSI-00195,2,1473000.0
DTL-00024,ORD-02296,FSI-00122,1,1024000.0
DTL-00025,ORD-01878,FSI-00409,1,2426000.0
DTL-00026,ORD-02415,FSI-00397,2,2590000.0
DTL-00027,ORD-00009,FSI-00188,2,2080000.0
DTL-00028,ORD-00777,FSI-00301,2,544000.0
DTL-00029,ORD-00466,FSI-00454,1,1793000.0
DTL-00030,ORD-01776,FSI-00066,1,1425000.0
DTL-00031,ORD-00035,FSI-00082,1,567000.0
DTL-00032,ORD-01579,FSI-00375,2,1903000.0
DTL-00033,ORD-00787,FSI-00140,1,1259000.0
DTL-00034,ORD-00210,FSI-00141,2,1968000.0
DTL-00035,ORD-02131,FSI-00284,2,724000.0
DTL-00036,ORD-00838,FSI-00064,2,1275000.0
DTL-00037,ORD-01464,FSI-00174,1,3234000.0
DTL-00038,ORD-00593,FSI-00314,1,579000.0
DTL-00039,ORD-00571,FSI-00288,1,1865000.0
DTL-00040,ORD-02357,FSI-00373,1,1444000.0
DTL-00041,ORD-00811,FSI-00320,2,1610000.0
DTL-00042,ORD-00401,FSI-00068,1,1529000.0
DTL-00043,ORD-01837,FSI-00250,1,265000.0
