orderId,customerId,eventId,orderTime,status,totalAmount
ORD-00001,CUS-01285,EVT-012,2026-02-13T00:34:07,DA_HUY,4941000.0
ORD-00002,CUS-01007,EVT-016,2026-05-17T03:24:54,DA_HUY,1689000.0
ORD-00003,CUS-01856,EVT-008,2026-01-15T04:27:39,THAT_BAI,1250000.0
ORD-00004,CUS-00278,EVT-016,2026-05-10T07:55:21,DA_HUY,5825000.0
ORD-00005,CUS-00687,EVT-001,2026-12-25T09:30:10,DA_XAC_NHAN,3357000.0
ORD-00006,CUS-00441,EVT-001,2026-01-25T07:13:57,DA_XAC_NHAN,3699000.0
ORD-00007,CUS-01487,EVT-019,2026-10-22T16:22:26,THAT_BAI,4027000.0
ORD-00008,CUS-01782,EVT-009,2026-07-12T10:46:00,CHO_XU_LY,4005000.0
ORD-00009,CUS-01936,EVT-005,2026-11-26T20:01:57,CHO_XU_LY,7954000.0
ORD-00010,CUS-00840,EVT-011,2026-08-18T10:44:45,CHO_XU_LY,6681000.0
ORD-00011,CUS-01684,EVT-006,2026-04-13T08:46:40,DA_XAC_NHAN,1382000.0
ORD-00012,CUS-01746,EVT-005,2026-03-10T11:24:19,DA_XAC_NHAN,4251000.0
ORD-00013,CUS-00210,EVT-001,2026-06-25T17:11:44,DA_XAC_NHAN,1812000.0
ORD-00014,CUS-00842,EVT-009,2026-07-24T11:47:02,CHO_XU_LY,5383000.0
ORD-00015,CUS-01400,EVT-017,2026-06-11T02:12:27,THAT_BAI,9773000.0
ORD-00016,CUS-01443,EVT-014,2026-01-13T16:18:42,CHO_XU_LY,4186000.0
ORD-00017,CUS-01904,EVT-002,2026-02-07T15:28:37,DA_HUY,1207000.0
ORD-00018,CUS-01156,EVT-009,2026-05-15T00:16:01,DA_XAC_NHAN,1741000.0
ORD-00019,CUS-00218,EVT-003,2026-09-15T10:22:36,CHO_XU_LY,7622000.0
ORD-00020,CUS-00277,EVT-002,2026-06-03T10:30:44,DA_XAC_NHAN,2706000.0
ORD-00021,CUS-01816,EVT-020,2026-01-20T02:22:46,CHO_XU_LY,2011000.0
ORD-00022,CUS-00776,EVT-007,2026-01-12T03:28:59,DA_XAC_NHAN,2440000.0
ORD-00023,CUS-01928,EVT-011,2026-10-02T10:57:29,DA_XAC_NHAN,7142000.0
ORD-00024,CUS-00708,EVT-004,2026-11-06T20:59:10,DA_XAC_NHAN,3955000.0
